,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome,Performance-per-carbon,,,,,,,Genoa,Performance-per-carbon,,,,,,,A100,Performance-per-carbon,,,,,,,H100,Performance-per-carbon,,,,,
Benchmark,Metric,Nodes,Mean,Std,CI95 Lower,CI95 Upper,,Benchmark,Metric,Nodes,Mean,Std,CI95 Lower,CI95 Upper,,Benchmark,Metric,GPUs,Mean,Std,CI95 Lower,CI95 Upper,,Benchmark,Metric,GPUs,Mean,Std,CI95 Lower,CI95 Upper
stress_ng,BogoOps/s /g,1 node,245761.15,2084.40,243573.70,247948.59,,stress_ng,BogoOps/s /g,1 node,257414.04,421.77,256971.41,257856.66,,gpu_burn,Gflops /g,4 GPUs,77994.77,1371.48,76555.49,79434.05,,gpu_burn,Gflops /g,4 GPUs,109666.87,949.33,108670.61,110663.13
stream,Copy: Best Rate MB/s /g,1 node,59262670.68,8327090.17,50523925.49,68001415.88,,stream,Copy: Best Rate MB/s /g,1 node,474158222.54,231024315.03,231713072.66,716603372.42,,nvidia_stream,Copy: Rate MB/s /g,4 GPUs,19135657.40,233427.26,18890690.52,19380624.29,,nvidia_stream,Copy: Rate MB/s /g,4 GPUs,33853129.47,363445.95,33471716.33,34234542.60
stream,Scale: Best Rate MB/s /g,1 node,52365375.11,7278399.90,44727162.86,60003587.37,,stream,Scale: Best Rate MB/s /g,1 node,415767224.45,203281049.47,202436846.22,629097602.69,,nvidia_stream,Scale: Rate MB/s /g,4 GPUs,19102632.22,234718.06,18856310.73,19348953.72,,nvidia_stream,Scale: Rate MB/s /g,4 GPUs,33747650.01,364848.39,33364765.10,34130534.91
