Rome,Performance,,,,,,,Genoa,Performance,,,,,,,A100,Performance,,,,,,,H100,Performance,,,,,
Benchmark,Metric,Nodes,Mean,Std,CI95 Lower,CI95 Upper,,Benchmark,Metric,Nodes,Mean,Std,CI95 Lower,CI95 Upper,,Benchmark,Metric,GPUs,Mean,Std,CI95 Lower,CI95 Upper,,Benchmark,Metric,GPUs,Mean,Std,CI95 Lower,CI95 Upper
stress_ng,BogoOps/s,1 node,102473.49,350.11,102106.07,102840.90,,stress_ng,BogoOps/s,1 node,144952.12,122.91,144823.13,145081.11,,gpu_burn,Gflops,4 GPUs,76434.17,9.77,76423.92,76444.42,,gpu_burn,Gflops,4 GPUs,204350.17,330.53,204003.29,204697.04
stream,Copy: Best Rate MB/s,1 node,140494.18,10100.64,129894.21,151094.15,,stream,Copy: Best Rate MB/s,1 node,529312.40,217148.82,301428.69,757196.11,,nvidia_stream,Copy: Rate MB/s,4 GPUs,1404108.27,862.60,1403203.03,1405013.51,,nvidia_stream,Copy: Rate MB/s,4 GPUs,2187256.93,756.45,2186463.09,2188050.78
stream,Scale: Best Rate MB/s,1 node,124144.17,8487.04,115237.57,133050.76,,stream,Scale: Best Rate MB/s,1 node,464127.60,187421.34,267440.97,660814.23,,nvidia_stream,Scale: Rate MB/s,4 GPUs,1401683.52,382.53,1401282.07,1402084.96,,nvidia_stream,Scale: Rate MB/s,4 GPUs,2180440.38,470.83,2179946.27,2180934.49
stream,Add: Best Rate MB/s,1 node,118885.10,8128.26,110355.01,127415.19,,stream,Add: Best Rate MB/s,1 node,506516.55,189945.65,307180.81,705852.29,,nvidia_stream,Add: Rate MB/s,4 GPUs,1382841.32,2008.58,1380733.44,1384949.19,,nvidia_stream,Add: Rate MB/s,4 GPUs,2247421.71,1448.39,2245901.72,2248941.70
stream,Triad: Best Rate MB/s,1 node,119777.32,9145.48,110179.72,129374.91,,stream,Triad: Best Rate MB/s,1 node,485936.27,179933.97,297107.14,674765.39,,nvidia_stream,Triad: Rate MB/s,4 GPUs,1381878.99,1798.30,1379991.79,1383766.19,,nvidia_stream,Triad: Rate MB/s,4 GPUs,2250787.94,596.91,2250161.51,2251414.36
hpl,Gflops,1 node,2843.92,77.92,2762.14,2925.69,,hpl,Gflops,1 node,4902.22,126.09,4769.89,5034.54,,nvidia_hpl,Gflops,1 GPU,15636.67,49.26,15584.97,15688.36,,nvidia_hpl,Gflops,1 GPU,38026.67,162.69,37855.94,38197.39
hpl,Gflops,2 nodes,5142.03,228.56,4902.18,5381.89,,hpl,Gflops,2 nodes,8506.67,274.69,8218.40,8794.94,,nvidia_hpl,Gflops,2 GPUs,30600.00,66.63,30530.07,30669.93,,nvidia_hpl,Gflops,2 GPUs,72605.00,311.75,72277.84,72932.16
hpl,Gflops,4 nodes,10513.20,197.83,10267.56,10758.84,,hpl,Gflops,4 nodes,17221.67,515.63,16680.55,17762.79,,nvidia_hpl,Gflops,4 GPUs,56626.67,182.72,56434.91,56818.42,,nvidia_hpl,Gflops,4 GPUs,120116.67,624.23,119461.57,120771.76
hpcg,GFLOP/s,1 node,3.20,0.03,3.17,3.24,,hpcg,GFLOP/s,1 node,3.38,0.22,3.14,3.61,,nvidia_hpcg,GFLOP/s,1 GPU,239.71,0.12,239.58,239.83,,nvidia_hpcg,GFLOP/s,1 GPU,377.04,7.00,369.70,384.39
