,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome,Performance-per-carbon,,,,,,,Genoa,Performance-per-carbon,,,,,,,A100,Performance-per-carbon,,,,,,,H100,Performance-per-carbon,,,,,
Benchmark,Metric,Nodes,Mean,Std,CI95 Lower,CI95 Upper,,Benchmark,Metric,Nodes,Mean,Std,CI95 Lower,CI95 Upper,,Benchmark,Metric,GPUs,Mean,Std,CI95 Lower,CI95 Upper,,Benchmark,Metric,GPUs,Mean,Std,CI95 Lower,CI95 Upper
stress_ng,BogoOps/s /g,1 node,22368.03,189.71,22168.94,22567.12,,stress_ng,BogoOps/s /g,1 node,23428.63,38.39,23388.34,23468.91,,gpu_burn,Gflops /g,4 GPUs,7098.72,124.83,6967.72,7229.72,,gpu_burn,Gflops /g,4 GPUs,9981.37,86.40,9890.69,10072.04
stream,Copy: Best Rate MB/s /g,1 node,5393811.88,757892.91,4598452.05,6189171.71,,stream,Copy: Best Rate MB/s /g,1 node,43155669.92,21026755.65,21089443.15,65221896.69,,nvidia_stream,Copy: Rate MB/s /g,4 GPUs,1741638.29,21245.46,1719342.54,1763934.03,,nvidia_stream,Copy: Rate MB/s /g,4 GPUs,3081153.95,33079.16,3046439.51,3115868.40
stream,Scale: Best Rate MB/s /g,1 node,4766052.21,662446.01,4070857.75,5461246.66,,stream,Scale: Best Rate MB/s /g,1 node,37841193.61,18501693.01,18424857.57,57257529.66,,nvidia_stream,Scale: Rate MB/s /g,4 GPUs,1738632.49,21362.94,1716213.46,1761051.52,,nvidia_stream,Scale: Rate MB/s /g,4 GPUs,3071553.70,33206.80,3036705.30,3106402.10
